"article","doi"
"Art1","10.1126/science.1256688"
"Art2","10.1111/j.1574-6941.2012.01437.x"
"Art3","10.1111/nph.13315"
"Art4","10.1126/science.1232728"
"Art5","10.1111/1755-0998.12065"
"Art6","10.1038/ismej.2013.28"
"Art7","10.1111/j.1365-294X.2010.04898.x"
"Art8","10.1073/pnas.1000454107"
"Art9","10.1038/s41598-018-22380-z"
"Art10","10.1111/mec.14061"
"Art11","10.1093/femsec/fix045"
"Art12","10.1111/1365-2435.12343"
"Art13","10.1111/nph.14249"
"Art14","10.1098/rspb.2016.2093"
"Art15","10.1002/ece3.2974"
"Art16","10.1073/pnas.1508382112"
"Art17","10.1038/ismej.2013.41"
"Art18","10.1111/nph.13226"
"Art19","10.1128/AEM.71.9.5544-5550.2005"
"Art20","10.1371/journal.pone.0097629"
"Art21","10.1111/ele.12459"
"Art22","10.1111/nph.12532"
"Art23","10.1371/journal.pone.0090234"
"Art24","10.1093/femsec/fiw156"
"Art25","10.1073/pnas.1209872109"
